"","klasifikasi","score","text"
"37","Netral",0,"ganjarpranowo wah bapak gak ubanan berarti gak mikirin rakyat sumpah tanya aja sama pak jokowi"
"38","Netral",0,"rambut putih pilihan jokowi "
"39","Positif",1,"bersurat ke jokowi ini protes organisasi profesi yang tolak ruu kesehatan "
"40","Positif",1,"bobbietrussell maryshelparaiso kebijakan presiden jokowi kami bangga dengan pak dhe jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"41","Negatif",-2,"joksuper valkyrie dzakysafaraz pencerah perkembangan jaman kebutuhan sesuai perkembangan jaman dan teknologi bukan kemajuan karena pemerintah walaupun bukan jokowi presiden juga jaman ini tetap akan terjadi "
"42","Negatif",-3,"tifsembiring siapa yg teriak pak kalau relawan yg teriak itu sma status nya dengan mereka yg teriak jokowi mundur sama melanggar konstitusi"
"43","Positif",3,"detikcom apakah dana apbn dipakai tuk acara tdk bermanfaat amp ngibul ngibul jokowi contoh pemimpin gagal"
"44","Netral",0,"jokowi benarkah pak info "
"45","Negatif",-1,"poljokesid jokowi yes mantap pilihan pilpres nanti setelah pak jokowi memberikan clue pilpres ada rambut putih setelah pak prabowo kini pak jokowi memberi ciri rambut putih yaitu pak ganjar mngkn mereka akan jadi capres cawapres"
"46","Negatif",-1,"edhofachreza antek jokowi duit rb doang diributin sian"
"47","Negatif",-1,"anakogi negerikolam ceuneh jokowi hanjenifd wagimandeep iya bener lagi rame soal itu kadrun kejang lat pendukung jokowi sebanyak itu langsung di sebar hoax kaya gitu di suruh ngasih bukti kongkrit ga ada yg bisa cuma katanya begini begitu doang"
"48","Positif",1,"pengarangsajak sebab apapun langkah jokowi sdh dianggap mengencingi muka mereka "
"49","Positif",1,"presiden joko widodo menyambut para pemimpin negara g dan lembaga internasional saat mengunjungi taman hutan raya tahura ngurah rai kota denpasar provinsi bali pada rabu november jokowi part foto muchlis jr biro pers sekretariat presiden "
"50","Netral",0,"andisinulingga jokowi maksud lu bapak lgbt "
"51","Positif",3,"abuwaras jenenge lambe warasisine ora waras babar blasss jokowi memang tdk bisa menentukan capres yg pakdhe sampaikan kemaren clue pilihan pakdhe kepada para relawannya sampeyan nek ora ngerti lan ora pahamtakon sik lahhngisin ngisine wae cah iki ora godhak babar blas"
"52","Negatif",-2,"mrryzze daybynday kaesangp mungkin dia rada terkenal karena suaranya mirip pak jokowi"
"53","Negatif",-3,"seruanhl lha iya ngapain kadrun ikutan ngurusi jokowi yang berhak ngurusi petugas partai ya tentu pdip saja "
"54","Netral",0,"dinas lingkungan lh dki jakarta melaporkan ada ton sampah selama berlangsungnya acara gerakan nusantara yang digelar oleh relawan jokowi kumparannews newsupdate "
"55","Netral",0,"helmifelis ckdeep jokowi kpn ni potong leher"
"56","Negatif",-1,"helmifelis jokowi kok lu kejang drun "
"57","Netral",0,"dtiwery jokowi twitnya isinya gini doang g kreatif "
"58","Negatif",-1,"yurissasamosir alisyarief jokowi halu amp memalukan "
"59","Negatif",-1,"geloraco jokowi yes mantap pilihan pilpres nanti setelah pak jokowi memberikan clue pilpres ada rambut putih setelah pak prabowo kini pak jokowi memberi ciri rambut putih yaitu pak ganjar mngkn mereka akan jadi capres cawapres"
"60","Netral",0,"alextham yg ngetuit penggonggongnya petugas partai  kecewanya peserta acara relawan jokowi di gbk katanya mau shalawat qubro ternyata enggak ada "
"61","Negatif",-1,"jarnasabwbpn adakan foto bpk presiden indonesia jokowi memperlihatkan foto luluhurnya bapak kakek dan lainnya"
"62","Positif",1,"kahmi apresiasi kinerja pemerintahan jokowimaruf "
"63","Netral",0,"mihrabku jokowi kang endorsan"
"64","Netral",0,"pengarangsajak karena pak jokowi masih mempunyai karisma sebagai potential vote getter untuk capres yang diusungnya melalui partai manapun kecuali nasdem demokrat pks"
"65","Netral",0,"pembangunan jalan usaha tani untuk mempermudah transportasi hasil pertanian shg meningkatkan perekonomian petani slorokgarumblitar ketahananpanganinfrastruktur prioritaspenggunaandd jokowi halimiskandarnu hesti blitarpmd "
"66","Negatif",-3,"pimpinan mikiri rakyat udah lazim tapi rakyat mikiri pimpinan itu luar biasa jokowi"
"67","Negatif",-2,"ajiesra aniesbaswedan udah gtu kelas pak jokowi mah bnr yg dr kalangan masyarakat biasa ini kang cikurnya aja kliatan hedon tempatnya bloggoblog wkwk"
"68","Positif",1,"firzahusain ajakan refly utk pilih anies sbg pemimpin dukungan kadrun aniesbaswedan aniesfor ganjarpranowo jokowi sutanmangara bachrumachmadi oposisicerdas geloraco pakjk mdyasmara tatakujiyati ekowboy musniumar reflyhz geiszchalifah nasdem sbyudhoyono sctv"
"69","Positif",2,"gakmaupakenamaa jokowi mas gibrantweet kemaren datang kan ke gbk judul acaranya nusantara bersatu tp ini masih dirawat ini kodran kadrun nya mau sampai kapan bangsa terpecah begini"
"70","Positif",2,"geloraco semakin kenceng nih teuku umar vs solo  tinggal kita lihat apakah trah soekarno berhasil digulingkan jokowi atau jokowi yg dipecat sebagai petugas partai oleh pdip di akhir jabatannya "
"71","Negatif",-3,"potret ganjar pamer rambut hitam usai jokowi beri kode rambut putih "
"72","Netral",0,"restycayah jokowi dennysiregar buat datanya yg ton drun"
"73","Netral",0,"ariemutyara jokowi ketagihan berkuasa"
"74","Netral",0,"nadegemarzan maryshelparaiso keren memang presiden jokowi masyarakat mendukung kinerja pemerintahan jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"75","Netral",0,"alvinlie donadam jokowi kalo bapak ini pasti oke kerjanya tanpa pencitraan"
"76","Netral",0,"ada yang tau siapa beliau yang samping pak jokowi indonesia gbk jokowi nusantarabersatu "
"77","Netral",0,"addiems acara di monas vs acara gebyar nusantara jokowi di gbk "
"78","Negatif",-1,"vivacoid jokowi yes mantap pilihan pilpres nanti setelah pak jokowi memberikan clue pilpres ada rambut putih setelah pak prabowo kini pak jokowi memberi ciri rambut putih yaitu pak ganjar mngkn mereka akan jadi capres cawapres"
"79","Negatif",-2,"yaniarsim jokowi biadab betulmirip era pki dlmenipu ummat islam lalu dibantai"
"80","Negatif",-2,"chusnulch jokowi biadab penipuuuuu sumpah bner bner bayar jahattttttt jokowi membawa malapetaka ingat gusti allah itu mbonten "
"81","Positif",1,"jokowi lempar kode capres berambut putih di acara nusantara bersatu pengamat sinyal untuk ganjar jokowi capres ganjarpranowo "
"82","Netral",0,"ophie ichanpitoeng restycayah kaesangp gibrantweet jokowi divhumaspolri puspentni mohmahfudmd fifacom pssi niluhdjelantik hihihihihi memang kenyataannya begitu"
"83","Negatif",-1,"doanxewon clue dari pak jokowi berambut putih bukan anies b beruban lho"
"84","Netral",0,"i bradharizz jokowi kadrun gak bakal nyampe otak nye broyang dia tau peak itu hebat hahahahhaah peak peak "
"85","Positif",1,"dirdja muhammadsaewad akhirnya terbongkar sudah bahwa dana penyelenggaraan di gbk oleh relawan jokowi pada sabtu itu berasal dari artis raffi ahmad artinya dia cebong seperjuangan ayo segera unfollow dari akun youtube instagram dan twitter dia salamkorsa"
"86","Negatif",-2,"ampasstt iskandarv vivacoid yg tolol aku atau kamu yg goblok kalau di terusin itu bukan hasil jokowi cuman nerusin kalau tidak di urus jokowi goblok tidak nerusin yg goblok aslinya otakmu tinggal ampasnya hahaiiii goblok goblok"
"87","Negatif",-1,"detikcom malang betul pak jokowi kalau g kejebak yaaa kaget "
"88","Negatif",-2,"anan jokowi sori njing gw mah ngomong a ya a b ya b emg ky sesembahan loe wanjembut ngomong d puter "
"89","Netral",0,"qiraniayara jokowi gk mikirin "
"90","Negatif",-5,"andisinulingga jokowi pesan saya utk pak aniesbaswedan jangan curi start kampanye copras capres copras capres jika ternyata cuma nasdem yang mendukung anda dan tidak ada partai lain yang ikut mengusung anda gimana memangnya bisa nyapres diusung nasdem kadrun bakal calon saja belum berisik"
"91","Negatif",-3,"karsono panjianom diekclev wawan veelgeno sigromilir bonaleles winotoali uplu alamtimur biang nembenetes anwarbohebo syahriyalkamil meey topan suprayoga ntaryaa rondamedsos afridu mamattobat heryidris alekda jebenk uwongdeso wbintoro shield mahasiswigenz kemurahantuhan kmen mantova wandystjk dwynur salimbonim akamas juniwun aesthetickan nkrihar lovetoba antonku alan azq giofarubi imammursyalin bentir pardoaganis mansurmhd winoto bpsdkijakarta pksejahtera orasi politik itu buat diri sendiri kyk anies klo orasi temu kangen pak jokowi dan relawan itu hanya ucapan terimakasih dan kasih semangat kepada relawan agar mengawal pembangunan dan keutuhan nkri"
"92","Negatif",-1,"mwagiic sama jokowi"
"93","Positif",1,"anakogi helmifelis divhumaspolri listyosigitp ccicpolri ajakan helmi siplis utk pilih anies sbg pemimpin dukungan kadrun aniesbaswedan aniesfor ganjarpranowo jokowi sutanmangara bachrumachmadi oposisicerdas geloraco pakjk mdyasmara tatakujiyati ekowboy musniumar helmifelis geiszchalifah sbyudhoyono sctv"
"94","Negatif",-1,"krist arign bordewen maknyusnnn bradharizz jokowi jargon nya biar sedikit yang penting berisik hahaahahahahaha"
"95","Negatif",-1,"wisanggeni jokowi siapa sj jd presiden itu jelas ngawur bro"
"96","Negatif",-1,"andisinulingga jokowi maksud mu spt calon junjunganmu maaf kita lbh cerdas tdk akan berbuat kesalahan yg sama utk kedua kali"
"97","Negatif",-3,"dediyorlando nkri ridwankamil salah pak jokowi apa blok goblok yang sering hina mengolok pak jokowi itu bani kadrun amp imam jumbo paham blokk"
"98","Negatif",-1,"jokowi pemimpin berkeringat bersama rakyat baper kalau dihujat didemo minggat rakyat melarat"
"99","Negatif",-1,"maryshelparaiso masyarakat ber terimakasih kepada presiden jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"100","Positif",1,"itu kan bukti pak jokowi dicintai rakyatnya emangnya elu drun tokoh dan capres terbaik aja gak punya selama partai ikutan pemilu malu drun maluu "
"101","Positif",1,"bradharizz jokowi kadrun bengek perwakilan masa di gbk tsb yang berhasil manghantarkan beliau periode membangun nkri jagoan lu mane nyungsep hahahahha"
"102","Netral",0,"jokowi aku jadi ketawa"
"103","Negatif",-2,"gak penjilat jokowi gak penjilat anies sama aja kelakuan"
"104","Netral",0,"komangkagawa alisyarief iya rupiah jokowi muraaahhh"
"105","Netral",0,"ferdyferandi jokowi mohmahfudmd listyosigitp mencopot kapolres cianjur juga bukan aksi intoleran polisinya masih ada kapolres nya aja yg dicopot takbirrrrrrr"
"106","Netral",0,""
"107","Netral",0,"siapa yang dimaksud jokowi pasti kita semua sudah kenal  "
"108","Netral",0,"jokowi the best bapak jokowi"
"109","Netral",0,"alexsuprijadi ary alextham aniesbaswedan baru direzim pak jokowi seorang presiden mengerahkan buzzer tuk memusuhi sekelas mantan gubernur  sangat memalukan"
"110","Negatif",-1,"bradharizz jokowi lah gimana ini itu gbk cuma terisi aja loe udah kalang kabut nyinyir guling koming gimana penuh sesak itu gbk nanti asam lambung loe langsung kumat lagi napas sesak mata kunangkunang asudahlah "
"111","Netral",0,"jokowi emang bos baru and jd presdn indonesia gin dr zmn orba sdh gin tp bar saat in banyak teriak pling nkri buzerdipeliharaseandainy bp blom paham atau td ad yg ngsh impormasi cba bp setdknya dengar keadaa saat in dr orng yg ska krtk bp atau pdulama kyai yg bkn dr klompok bp"
"112","Positif",1,"hobi banget kegedean bacot coba temui bu sumarsih kalo punya nyali "
"113","Negatif",-4,"cobeh amat disayangkan karena pak jokowi diundang dalam kapasitasnya selaku presiden republik indonesia bukan pribadi apalagi sebagai kader partai tertentu"
"114","Negatif",-1,"demokrat sindir jokowi soal sosok pemimpin rambut putih lihat dari peng "
"115","Negatif",-1,"drevachaniago astaqfiruwlohhhhh rezim jokowi bener bner biadab"
"116","Negatif",-3,"komangkagawa alisyarief artinya nama jokowi itu harga pasaranalias pantasnya tukang jualan di pasarjual jual jual "
"117","Negatif",-3,"i bradharizz jokowi sokan matematika hitung noh hutang junjungan lu idiot"
"118","Negatif",-3,"mahardikadirga jokowi ini editan siapa kok beliau terlihat gagah dan berwibawa walau rambut dan kulit keriput beliau tetap terlihat seorang pemimpin saya suka"
"119","Netral",0,"rizal ramli sarankan jokowi jujur soal agenda menyiapkan boneka buat oligarki "
"120","Netral",0,"wagimandeep jokowi kepruk cocote ae"
"121","Netral",0,"puthutea tag jokowi meh apalen"
"122","Negatif",-3,"anan jokowi iya ngetwit sm anjing nga perlu sopan  kelompok lain yg mau ganti dasar negara tetep aja anjingkhilafuck sampaharab"
"123","Negatif",-1,"abbashamzah ayubharis jokowi keretakan apa drunaku kan cuma bicara fakta drun"
"124","Negatif",-2,"jokowi setuju pak jokowi kita pilih pemimpin yg mengerti apa yg di rasakan rakyat dan tambahan y jangan pilih pemimpin yg pandai berdusta atw ngawadul pembohong terhadap rakyat yiya kan pak jokowi agar rayat tenang dan sejahtera"
"125","Netral",0,"restycayah jokowi dennysiregar kalo si dennysiregar ngangkut nya pake mobil tinja"
"126","Netral",0,"info loker pak ri "
"127","Netral",0,"kode keras pak jokowi ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar capres ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"128","Negatif",-2,"cobeh itulah kenapa jokowi bikin acara tandingan di gbk ngumpulin relawan dan ibu pengajian biar kelihatan woww dan gak kalah pamornya"
"129","Netral",0,"mangdjanabdg satriohendri antaranews apa yg di wariskan oleh pemerintah jokowi maruf para pendukung jokowi dan para buzzernya saya yakin indonesia tidak akan jauh berbeda dengan kondisi indonesia hari ini "
"130","Negatif",-2,"said didu sebut acara jokowi dan relawan habiskan anggaran rp m netizen mending untuk korban gempa jokowi relawanjokowi saiddidu gempa gempacianjur poskota "
"131","Negatif",-2,"tanmarm clue dari pak jokowi rambut putih yg jelas bukan anies b beruban "
"132","Positif",1,"jokowi itu ingin memastikan bahwa suksesor presiden di adalah orangorangnya jokowi all jokowis man lah tutur adi "
"133","Positif",3,"itu sangat clear itu sangat jelas yang diungkapkan oleh jokowi tertuju ke ganjar secara etik gimana kata ujang "
"134","Positif",3,"ferdyferandi jokowi mohmahfudmd listyosigitp label nama itu dokumentasi untuk melaporkan ke para pemberi bantuan sbg rasa tggjawab pak bu bantuan sdh sy sampaikan ini bukti fotonya kok bs org ky gitu jd kapolres"
"135","Negatif",-4,"i bradharizz jokowi lu carilah sendiri junjungan sama jinjingan sama idiot gitu masih mau periode mau merubah uu blm puas ngancurin negara biadab"
"136","Netral",0,"giginpraginanto yang mulia bapak presiden jokowi kenapa bapak hadir buat acara macam gini sebenarnya saya nggak tega lihat presiden kita dijadikan bahan olok ampun dah"
"137","Negatif",-2,"herryashari helmifelis jokowi zaman wan yaman dana hibah pemprov dki mengalir sampai jauh dan tkd pns dki yg dipotong tanpa alasan yg jelas sampai skrg belum dikembalikan "
"138","Positif",2,"tvonenews calon ideal menurut kriteria jokowi "
"139","Negatif",-2,"dahnilanzar prabowo mau timbul tenggelam bersama jokowisemoga jokowi ga bantu prabowo"
"140","Negatif",-3,"mihrabku jokowi jgn sampai setelah jabatannya sibuk bolakbalik urusan hukum krn dikorbankan dan ditumbalkan oleh mantan pembantu dan pendukungnya tapi khawatirnya malah org pertama yg akan dikorbankan dan ditumbalkan"
"141","Negatif",-2,"sammyfish arign bordewen maknyusnnn bradharizz jokowi gak papa yg penting tetap exist tinggal nunggu bohir caplin sama bohir cikeas sepakat "
"142","Negatif",-1,"bobbietrussell maryshelparaiso masyarakat ber terimakasih kepada presiden jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"143","Negatif",-3,"jabatan tak lama lagi akan berakhir ukir sejarah ukir nama baik jangan buang waktu dan energi dengan halhal remeh temeh lagi pula dari pengalaman yang kami rasakan selama lebih kurang priode ini kami rakyat akan sangat berhatihati menentukan pemimpin "
"144","Netral",0,"restycayah agamano kaesangp gibrantweet jokowi divhumaspolri puspentni mohmahfudmd fifacom pssi hari ini gak ada tweet mereka berdua"
"145","Netral",0,"selebberita jokowi bukannya itu lebih baik "
"146","Negatif",-2,"agusta puthutea jokowi banyak juga yang ditipu sama relawan jokowi  mau sholawatan eh taunya dangdutan"
"147","Netral",0,"wisanggeni yoi bro ketua panitianya kan dia gak ada urgensi juga pakde jokowi pasti gak enak juga klo gak datang "
"148","Negatif",-1,"hasil jajak pendapat penerbit rough guides menempatkan indonesia di peringkat ke negeri terindah di dunia ini makin mengukuhkan indonesia sebagai destinasi wisata kelas dunia indonesiamaju jokowi "
"149","Negatif",-1,"hasil jajak pendapat penerbit rough guides menempatkan indonesia di peringkat ke negeri terindah di dunia ini makin mengukuhkan indonesia sebagai destinasi wisata kelas dunia indonesiamaju jokowi "
"150","Netral",0,"bradharizz jokowi yang ditunggangi sudah pada sadar "
"151","Netral",0,"kompastv udah berani jokowidan pedeipe cuman bisa ngedumel"
"152","Negatif",-2,"loveagever jokowi mkskin empati miskin akal sehat dan legacy terbesarnya memiskinkan negara serta rakyatnyan"
"153","Negatif",-1,"abuwaras berani gak pdiperjuangan manggil jokowi dan kasih sanksi"
"154","Negatif",-3,"santri ikut mengisi kemerdekaan ri koprasi ikut memperjuangkan ekonomi rakyat kecil ri tolakojkdikoperasi copotmenterikoperasi jokowi kemenkopukm kemenkeuri dprri "
"155","Netral",0,"karsono herusnd panjianom diekclev veelgeno sigromilir bonaleles winotoali uplu alamtimur biang nembenetes anwarbohebo syahriyalkamil meey topan suprayoga ntaryaa rondamedsos afridu mamattobat heryidris alekda jebenk uwongdeso wbintoro shield mahasiswigenz kemurahantuhan kmen mantova wandystjk dwynur salimbonim akamas juniwun aesthetickan nkrihar lovetoba antonku alan azq giofarubi imammursyalin bentir pardoaganis mansurmhd winoto bpsdkijakarta pksejahtera karsono tiap malam suka nangis di jamban dia meratapi nasib jokowi msh presiden maunya dia jokowi lengser hari ini "
"156","Negatif",-1,"pengamat jokowi butuh panglima tni yang loyal dan berani "
"157","Negatif",-1,"muslim arbi jokowi seolah ingin jadi king maker dan mau menikam megawati dari belakang "
"158","Positif",1,"hal ini dpt diterima kalau massa tidak dibayar juga tdk di bohongi kalau keduanya melekat pada acara tersebut maka faktanya jokowi takut tidak diakui padahal presiden itu akan tetap dicintai kalau dia bermanfaat bagi rakyat klu unfaedah ya jumpa pun tak peduli tvonenews "
"159","Positif",1,"trendusara akun akun kebencian jokowi udah turun beberapa kali ke lapangan lu kemana aja beliau itu sedang melakukan penggalangan dana cuihhhh "
"160","Netral",0,"sabdasabdaning pandhita pangendikaning ratu nora kena wola wali sepisan ngendika sepisan dadi lathi ati lan pakarti tansah nyawiji "
"161","Positif",1,"jokowi cuma bapak jokowi yg bisa bikin macet panjang kalo bikin acara go periode "
"162","Negatif",-3,"kenapa gw nyinyir ttg acara presiden jokowi di gbk karena acara itu mengkerdilkan nama besar jokowi yg telah sukses menyelenggarakan g akhirnya yg muncul bullyan ttg sampah ijin gbk prank istiqosah dll paham blog"
"163","Negatif",-1,"andisinulingga jokowi komentar bodoh"
"164","Negatif",-1,"abdihab slamb ya panteslah presidenmu mukidi makanya gk tahu malu kek gurunya mukidi yg cabul itu untung kami rakyat indonesia punya presiden bernama jokowi"
"165","Negatif",-1,"helmifelis jokowi duh malah sibuk gini pleciden selagi masih hari berkabung dimana negara ini sedang kena musibah rakyatnya"
"166","Negatif",-1,"tjhinfar jokowi ini yg dtg ke gbk kemarin ada amplop rbbanyak yg kena tipu itu semua pendukung pak anies karena sesuatu hal mereka ada disana"
"167","Negatif",-1,"awas pemujanya ngamuk  pdip anggap acara relawan di gbk rendahkan jokowi "
"168","Netral",0,"arign bordewen maknyusnnn bradharizz jokowi jangan ngomongin pendukung boneka caplin ahh kasian tahu"
"169","Negatif",-1,"alvinlie jokowi mungkin yg ini "
"170","Negatif",-1,"saya setuju supaya sejalan dng kebijakan jokowi yg anti intolerans dan politik identitas "
"171","Positif",4,"gibrantweet mas gibran tlng bilangin ke bpk presiden jokowi saya lom siap ditngglkn beliau dan rakyat indonesia yang mencintai bpk presiden jokowi masih menginginkan beliau salam periode indonesia maju bersama bpk presiden jokowi beserta jajarannya "
"172","Negatif",-1,"nadegemarzan maryshelparaiso masyarakat ber terimakasih kepada presiden jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"173","Negatif",-1,"yoweslahok jokowi nah ini yang tukang jilat ludah bapack bapack beliau tsb"
"174","Positif",1,"karsono panjianom diekclev wawan veelgeno sigromilir bonaleles winotoali uplu alamtimur biang nembenetes anwarbohebo syahriyalkamil meey topan suprayoga ntaryaa rondamedsos afridu mamattobat heryidris alekda jebenk uwongdeso wbintoro shield mahasiswigenz kemurahantuhan kmen mantova wandystjk dwynur salimbonim akamas juniwun aesthetickan nkrihar lovetoba antonku alan azq giofarubi imammursyalin bentir pardoaganis mansurmhd winoto bpsdkijakarta pksejahtera klo pak jokowi cuma kasih isyarat aja apa itu salah lah klo anies terang terangan mas kampanye dia "
"175","Netral",0,"jokowi dah mau kelar mrnjabatpun masih piara yg beginian pak dimana persatuan indonesia nya pak"
"176","Positif",2,"penerus presiden jokowi ada pada ganjar pranowo indonesia maju"
"177","Netral",0,"jokowiamin jokowilanjut tetapjokowi jokowimaruf jokowimarufamin"
"178","Negatif",-1,"sciocogitocredo detikcom mohmahfudmd divhumaspolri ridwankamil jokowi bnptri semoga tuhan membukakan jalan"
"179","Negatif",-2,"kangl keburukan jokowi selalu kau unggah apakah anda hanya mental sosmed dan di dunia nyata gak berani beropini wahai warga pribumi"
"180","Netral",0,"jokowi modalnya rb perorang hafilnya banyak sampag"
"181","Netral",0,"restycayah sopkakikambing jokowi niluhdjelantik kemenkesri pbidi kadrun mna ada yg pinter  "
"182","Netral",0,"weureugadung pas deklarasi bobotoh jokowi ge loba nu beunang prank mang"
